game_id,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,opp_id,opp_fran,elo_i,opp_elo_i,game_result
199911100HOU,2000,11/10/1999,5,0,HOU,Rockets,LAL,Lakers,1476.0802,1586.2506,L
199911100LAC,2000,11/10/1999,5,0,LAC,Clippers,SAS,Spurs,1340.7045,1708.0988,L
199911100NJN,2000,11/10/1999,5,0,NJN,Nets,PHO,Suns,1438.7954,1555.9807,L
199911100ORL,2000,11/10/1999,6,0,ORL,Magic,PHI,Sixers,1541.3339,1529.3156,W
199911100VAN,2000,11/10/1999,4,0,VAN,Grizzlies,ATL,Hawks,1292.6324,1511.4985,W
199911100WAS,2000,11/10/1999,5,0,WAS,Wizards,SEA,Thunder,1426.0543,1496.2941,L
199911110CLE,2000,11/11/1999,5,0,CLE,Cavaliers,SEA,Thunder,1493.0594,1510.5952,L
199911110DET,2000,11/11/1999,6,0,DET,Pistons,TOR,Raptors,1554.1735,1483.2941,L
199911110IND,2000,11/11/1999,5,0,IND,Pacers,ORL,Magic,1607.6151,1545.7794,W
199911110MIA,2000,11/11/1999,5,0,MIA,Heat,DAL,Mavericks,1579.3599,1446.7911,W
199911110MIN,2000,11/11/1999,3,0,MIN,Timberwolves,NYK,Knicks,1479.064,1609.9932,W
199911120BOS,2000,11/12/1999,6,0,BOS,Celtics,NYK,Knicks,1473.2136,1603.7517,W
199911120CHH,2000,11/12/1999,6,0,CHH,Pelicans,NJN,Nets,1553.9869,1426.1709,W
199911120DEN,2000,11/12/1999,5,0,DEN,Nuggets,POR,Trailblazers,1352.0248,1586.4587,L
199911120LAL,2000,11/12/1999,7,0,LAL,Lakers,HOU,Rockets,1590.1426,1472.1882,L
199911120MIL,2000,11/12/1999,6,0,MIL,Bucks,PHO,Suns,1531.0911,1568.6052,W
199911120PHI,2000,11/12/1999,6,0,PHI,Sixers,CHI,Bulls,1524.87,1356.4125,W
199911120SAC,2000,11/12/1999,3,0,SAC,Kings,UTA,Jazz,1481.9181,1592.6283,W
199911120VAN,2000,11/12/1999,5,0,VAN,Grizzlies,GSW,Warriors,1302.9708,1389.8051,L
199911120WAS,2000,11/12/1999,6,0,WAS,Wizards,MIA,Heat,1411.7532,1585.6884,L
199911130CHI,2000,11/13/1999,6,0,CHI,Bulls,BOS,Celtics,1354.1749,1481.835,W
199911130CLE,2000,11/13/1999,6,0,CLE,Cavaliers,MIL,Bucks,1482.8517,1541.632,W
199911130DAL,2000,11/13/1999,7,0,DAL,Mavericks,ORL,Magic,1440.4626,1539.0421,W
199911130DET,2000,11/13/1999,7,0,DET,Pistons,SEA,Thunder,1529.4752,1520.803,W
199911130GSW,2000,11/13/1999,6,0,GSW,Warriors,HOU,Rockets,1400.6903,1498.6866,L
199911130IND,2000,11/13/1999,6,0,IND,Pacers,WAS,Wizards,1614.3524,1404.4896,W
199911130MIN,2000,11/13/1999,4,0,MIN,Timberwolves,PHO,Suns,1485.3054,1558.0643,W
199911130POR,2000,11/13/1999,7,0,POR,Trailblazers,ATL,Hawks,1594.1327,1501.1602,W
199911130SAS,2000,11/13/1999,7,0,SAS,Spurs,CHH,Pelicans,1710.1469,1556.2578,W
199911140LAL,2000,11/14/1999,8,0,LAL,Lakers,ATL,Hawks,1563.6442,1490.4344,W
199911140NYK,2000,11/14/1999,8,0,NYK,Knicks,MIA,Heat,1595.1304,1592.9519,L
199911140SAC,2000,11/14/1999,4,0,SAC,Kings,DEN,Nuggets,1494.6576,1344.3508,W
199911140TOR,2000,11/14/1999,6,0,TOR,Raptors,PHI,Sixers,1507.9923,1527.1075,L
199911140VAN,2000,11/14/1999,6,0,VAN,Grizzlies,LAC,Clippers,1292.0856,1338.6564,W
199911150HOU,2000,11/15/1999,8,0,HOU,Rockets,IND,Pacers,1507.833,1618.3893,L
199911150NJN,2000,11/15/1999,7,0,NJN,Nets,SEA,Thunder,1423.9,1514.9806,L
199911150PHO,2000,11/15/1999,8,0,PHO,Suns,LAL,Lakers,1548.131,1566.9758,L
199911150UTA,2000,11/15/1999,7,0,UTA,Jazz,SAS,Spurs,1579.8888,1714.546,W
199911160ATL,2000,11/16/1999,8,0,ATL,Hawks,CHH,Pelicans,1487.1028,1551.8586,W
199911160DAL,2000,11/16/1999,8,0,DAL,Mavericks,HOU,Rockets,1449.4946,1498.4739,W
199911160DEN,2000,11/16/1999,7,0,DEN,Nuggets,NYK,Knicks,1341.0409,1584.3018,L
199911160GSW,2000,11/16/1999,7,0,GSW,Warriors,CHI,Bulls,1391.5439,1358.6367,W
199911160MIA,2000,11/16/1999,8,0,MIA,Heat,POR,Trailblazers,1603.7805,1604.8584,L
199911160MIL,2000,11/16/1999,8,0,MIL,Bucks,LAC,Clippers,1535.6238,1325.3444,W
199911160SAC,2000,11/16/1999,5,0,SAC,Kings,VAN,Grizzlies,1497.9675,1305.3976,W
199911160SAS,2000,11/16/1999,9,0,SAS,Spurs,IND,Pacers,1705.802,1627.7484,W
